         654801 function calls (647944 primitive calls) in 280.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25702    2.110    0.000    2.110    0.000 {built-in method _codecs.utf_8_decode}
        5    0.059    0.012    1.861    0.372 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:266(calculate_career_progression)
    82/81    0.046    0.001    1.812    0.022 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:596(factorize)
      245    0.002    0.000    1.630    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/managers.py:306(apply)
       81    0.002    0.000    1.614    0.020 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:534(factorize_array)
      457    0.009    0.000    1.583    0.003 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:352(notna)
       12    1.568    0.131    1.568    0.131 {pandas._libs.join.inner_join}
       10    0.029    0.003    1.551    0.155 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/sorting.py:304(lexsort_indexer)
1281/1274    0.001    0.000    1.538    0.001 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:106(isna)
1281/1274    0.002    0.000    1.537    0.001 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:189(_isna)
      278    0.075    0.000    1.532    0.006 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:266(_isna_array)
       18    0.000    0.000    1.499    0.083 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/blocks.py:323(apply)
        1    0.164    0.164    1.479    1.479 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:217(clean)
      154    0.000    0.000    1.456    0.009 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:307(_isna_string_dtype)
      154    1.455    0.009    1.455    0.009 {built-in method pandas._libs.missing.isnaobj}
        4    0.000    0.000    1.451    0.363 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:6225(isna)
        4    0.000    0.000    1.450    0.363 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/base.py:140(isna)
       61    1.229    0.020    1.229    0.020 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
       13    0.092    0.007    1.097    0.084 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/series.py:5333(isin)
      117    1.009    0.009    1.009    0.009 {pandas._libs.algos.take_2d_axis0_float64_float64}
       13    0.774    0.060    1.002    0.077 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:443(isin)
      134    0.003    0.000    0.976    0.007 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/indexes/base.py:1070(take)
       12    0.000    0.000    0.954    0.080 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:5110(drop)
       12    0.000    0.000    0.954    0.080 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:4518(drop)
       12    0.000    0.000    0.953    0.079 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:4557(_drop_axis)
      305    0.875    0.003    0.875    0.003 {method 'take' of 'numpy.ndarray' objects}
      146    0.001    0.000    0.815    0.006 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/algorithms.py:1165(take)
       15    0.001    0.000    0.805    0.054 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/indexing.py:122(_make_mask_from_positional_indexer)
       15    0.050    0.003    0.805    0.054 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/indexing.py:186(_make_mask_from_slice)
