         650387 function calls (643675 primitive calls) in 250.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      155    0.000    0.000    1.509    0.010 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:307(_isna_string_dtype)
      155    1.509    0.010    1.509    0.010 {built-in method pandas._libs.missing.isnaobj}
        4    0.000    0.000    1.502    0.376 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:6225(isna)
        4    0.000    0.000    1.502    0.376 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/base.py:140(isna)
       81    0.002    0.000    1.489    0.018 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:534(factorize_array)
       12    1.423    0.119    1.423    0.119 {pandas._libs.join.inner_join}
       10    0.038    0.004    1.388    0.139 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/sorting.py:304(lexsort_indexer)
        1    0.116    0.116    1.297    1.297 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:202(clean)
       13    0.121    0.009    1.146    0.088 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/series.py:5333(isin)
       61    1.127    0.018    1.127    0.018 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
       13    0.749    0.058    1.023    0.079 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:443(isin)
      117    0.774    0.007    0.774    0.007 {pandas._libs.algos.take_2d_axis0_float64_float64}
       12    0.000    0.000    0.766    0.064 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:5110(drop)
       12    0.000    0.000    0.766    0.064 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/generic.py:4518(drop)
       12    0.000    0.000    0.765    0.064 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/generic.py:4557(_drop_axis)
        2    0.004    0.002    0.752    0.376 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:6435(drop_duplicates)
       15    0.000    0.000    0.715    0.048 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/indexing.py:122(_make_mask_from_positional_indexer)
       15    0.049    0.003    0.714    0.048 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/indexing.py:186(_make_mask_from_slice)
       10    0.013    0.001    0.690    0.069 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/sorting.py:290(indexer_from_factorized)
      134    0.001    0.000    0.688    0.005 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:1070(take)
       20    0.085    0.004    0.660    0.033 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:1600(_cumcount_array)
       35    0.001    0.000    0.657    0.019 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/arrays/categorical.py:359(__init__)
       18    0.003    0.000    0.653    0.036 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/sorting.py:673(compress_group_index)
        2    0.023    0.011    0.637    0.318 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:6532(duplicated)
      305    0.604    0.002    0.604    0.002 {method 'take' of 'numpy.ndarray' objects}
       31    0.001    0.000    0.591    0.019 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/ops.py:871(group_info)
       31    0.001    0.000    0.590    0.019 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/ops.py:886(_get_compressed_codes)
       49    0.000    0.000    0.563    0.011 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/grouper.py:669(codes)
       37    0.000    0.000    0.563    0.015 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/grouper.py:722(_codes_and_uniques)
      146    0.000    0.000    0.546    0.004 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:1165(take)
       10    0.000    0.000    0.502    0.050 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:3904(head)
        9    0.000    0.000    0.494    0.055 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:6629(f)
       15    0.003    0.000    0.484    0.032 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/indexing.py:228(_ascending_count)
      200    0.445    0.002    0.445    0.002 {method 'argsort' of 'numpy.ndarray' objects}
       16    0.008    0.000    0.429    0.027 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/sorting.py:695(_reorder_by_uniques)
      473    0.333    0.001    0.333    0.001 {method 'astype' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.310    0.078 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/generic.py:3832(take)
        5    0.000    0.000    0.308    0.062 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:3942(tail)
        3    0.000    0.000    0.285    0.095 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/series.py:5587(dropna)
        1    0.015    0.015    0.284    0.284 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:669(remove_na_arraylike)
       16    0.000    0.000    0.262    0.016 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/generic.py:1258(aggregate)
       16    0.000    0.000    0.257    0.016 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/apply.py:145(agg)
       16    0.001    0.000    0.257    0.016 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/apply.py:374(agg_dict_like)
      138    0.247    0.002    0.247    0.002 {method 'nonzero' of 'numpy.ndarray' objects}
       75    0.239    0.003    0.239    0.003 {pandas._libs.algos.take_2d_axis0_int64_int64}
    39/37    0.000    0.000    0.237    0.006 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/generic.py:218(aggregate)
       37    0.000    0.000    0.234    0.006 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/base.py:195(grouped_reduce)
       32    0.000    0.000    0.232    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:1474(_cython_agg_general)
       32    0.000    0.000    0.230    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:1488(array_func)
       32    0.000    0.000    0.230    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/ops.py:940(_cython_operation)
      298    0.228    0.001    0.229    0.001 {pandas._libs.lib.infer_dtype}
       84    0.000    0.000    0.226    0.003 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:251(_get_hashtable_algo)
       84    0.001    0.000    0.224    0.003 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:269(_check_object_for_strings)
       18    0.221    0.012    0.221    0.012 {method 'get_labels_groupby' of 'pandas._libs.hashtable.Int64HashTable' objects}
      118    0.221    0.002    0.221    0.002 {built-in method numpy.arange}
        6    0.002    0.000    0.219    0.036 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/base.py:928(value_counts)
        6    0.000    0.000    0.217    0.036 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:800(value_counts)
       13    0.001    0.000    0.216    0.017 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:664(__init__)
        1    0.000    0.000    0.211    0.211 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:67(perform_task_2)
        6    0.207    0.035    0.207    0.035 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:908(value_counts_arraylike)
       21    0.000    0.000    0.207    0.010 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexes/range.py:202(_data)
       31    0.005    0.000    0.199    0.006 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/ops.py:863(has_dropped_na)
       13    0.000    0.000    0.197    0.015 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:1137(_get_merge_keys)
        8    0.000    0.000    0.191    0.024 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/generic.py:1798(_drop_labels_or_levels)
       17    0.071    0.004    0.183    0.011 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/sorting.py:109(get_group_index)
       13    0.180    0.014    0.181    0.014 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/reshape/merge.py:2520(_get_join_keys)
       13    0.000    0.000    0.181    0.014 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/series.py:992(__getitem__)
        5    0.002    0.000    0.181    0.036 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/indexing.py:237(_descending_count)
       18    0.007    0.000    0.181    0.010 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/generic.py:3589(to_csv)
       13    0.000    0.000    0.180    0.014 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/series.py:1095(_get_values)
       13    0.000    0.000    0.180    0.014 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1958(getitem_mgr)
       99    0.164    0.002    0.180    0.002 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexers/utils.py:241(maybe_convert_indices)
       18    0.000    0.000    0.173    0.010 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1137(to_csv)
       18    0.001    0.000    0.168    0.009 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/csvs.py:235(save)
       64    0.004    0.000    0.162    0.003 {built-in method builtins.print}
       75    0.000    0.000    0.161    0.002 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/generic.py:6342(copy)
       99    0.000    0.000    0.160    0.002 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:620(copy)
       21    0.000    0.000    0.158    0.008 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:1084(__repr__)
       21    0.000    0.000    0.156    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/frame.py:1190(to_string)
       21    0.000    0.000    0.153    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1111(to_string)
       21    0.000    0.000    0.152    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/string.py:29(to_string)
       21    0.000    0.000    0.151    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/string.py:41(_get_string_representation)
       74    0.001    0.000    0.150    0.002 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/algorithms.py:1471(safe_sort)
       18    0.000    0.000    0.145    0.008 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/csvs.py:261(_save)
       18    0.007    0.000    0.145    0.008 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/csvs.py:294(_save_body)
     2592    0.001    0.000    0.140    0.000 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:4937(_values)
      980    0.008    0.000    0.139    0.000 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/construction.py:494(sanitize_array)
       18    0.000    0.000    0.138    0.008 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/csvs.py:304(_save_chunk)
     1605    0.067    0.000    0.136    0.000 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:5159(__getitem__)
        4    0.000    0.000    0.131    0.033 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/indexes/range.py:902(__getitem__)
       16    0.000    0.000    0.129    0.008 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:1773(mean)
       30    0.001    0.000    0.123    0.004 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/sorting.py:630(get_group_index_sorter)
       30    0.122    0.004    0.122    0.004 {pandas._libs.algos.groupsort_indexer}
      925    0.046    0.000    0.118    0.000 {pandas._libs.lib.maybe_convert_objects}
       28    0.000    0.000    0.116    0.004 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/ops/common.py:67(new_method)
        1    0.001    0.001    0.115    0.115 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:147(calculate_impact_metrics)
      488    0.002    0.000    0.114    0.000 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1171(maybe_infer_to_datetimelike)
       11    0.000    0.000    0.111    0.010 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/series.py:6086(_cmp_method)
        1    0.000    0.000    0.109    0.109 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/arraylike.py:38(__eq__)
       11    0.000    0.000    0.109    0.010 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:237(comparison_op)
        1    0.000    0.000    0.108    0.108 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:67(comp_method_OBJECT_ARRAY)
        1    0.108    0.108    0.108    0.108 {pandas._libs.ops.scalar_compare}
        2    0.000    0.000    0.107    0.054 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/generic.py:292(_aggregate_multiple_funcs)
       16    0.000    0.000    0.104    0.007 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:2242(sum)
       16    0.000    0.000    0.104    0.006 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:1413(_agg_general)
       21    0.001    0.000    0.101    0.005 /Users/martasolarz/Studies/project/film_ranking/venv/lib/python3.12/site-packages/pandas/io/formats/string.py:154(_fit_strcols_to_terminal_width)
       54    0.101    0.002    0.101    0.002 {pandas._libs.algos.take_2d_axis1_float64_float64}
