Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Kai Wessel,2616,29890,27274
Bruno Barreto,8550,35800,27250
Lee Yong-ju,13977,41220,27243
Burhan Qurbani,11898,39070,27172
Kang Hyo-jin,1971,29110,27139
Tom Reeve,2450,29540,27090
James Franco,8664,35720,27056
Euros Lyn,42774,69790,27016
David Marconi,7450,34450,27000
Todd Graff,61730,88720,26990
Jeff Garlin,24894,51840,26946
Rasmus Tirzitis,5982,32900,26918
Per Fly,32076,58950,26874
Brian Welsh,20981,47820,26839
Michael Winterbottom,20810,47640,26830
Paul McGuigan,80620,107430,26810
Matthias Temmermans,4006,30700,26694
Cody Calahan,29576,56248,26672
S.R. Bindler,64796,91440,26644
Victor Kossakovsky,2746,29390,26644
David Price,3730,30290,26560
Maria Sadowska,15879,42430,26551
Conor McPherson,5092,31360,26268
Adrian Langley,2298,28490,26192
Majid Majidi,13150,39250,26100
Jang Jae-hyun,23800,49810,26010
Malik Vitthal,47980,73970,25990
Hua-Tao Teng,1186,27160,25974
Fernando González Molina,50093,76060,25967
Thomas Sieben,40414,66310,25896
Adam Leon,37171,62980,25809
Tarik Saleh,67424,93230,25806
Valentyn Vasyanovych,1014,26770,25756
Allan Ungar,25448,51170,25722
Guillaume Canet,17170,42880,25710
Jeong-hyang Lee,16422,42052,25630
Greg Glienna,18762,44340,25578
Luis Estrada,36292,61780,25488
Robert Towne,75450,100920,25470
Boyapati Srinu,15105,40570,25465
Tetsuya Nakashima,2117,27543,25426
Allison Burnett,104626,130050,25424
Kenny Ortega,226460,251870,25410
Dolph Lundgren,18280,43680,25400
DJ Pooh,37040,62438,25398
Sameh Zoabi,590,25980,25390
Ian Mune,1294,26605,25311
Leo Scherman,2906,28180,25274
Vincent D'Onofrio,69948,95160,25212
Sang-il Lee,8945,34150,25205
Uli Edel,164310,189490,25180
Jason Freeland,10410,35530,25120
Phil Volken,64881,90000,25119
Sathyan Anthikad,27314,52430,25116
Stephen Burke,10460,35560,25100
Christopher Hatton,16300,41360,25060
Abolhassan Davoodi,1581,26598,25017
Marcelo Galvão,3997,28990,24993
Mark Tonderai,72320,97240,24920
Emmanuel Mouret,4977,29860,24883
Adam Massey,10638,35502,24864
Rachel Perkins,5254,30112,24858
Won-Chan Hong,38498,63290,24792
Adam Coleman Howard,3520,28310,24790
Pouran Derakhshandeh,732,25472,24740
Byung-chun Min,21504,46200,24696
Ryûhei Kitamura,56498,81190,24692
Michael O. Sajbel,4616,29286,24670
Sebastián Schindel,20859,45510,24651
Steven Soderbergh,105910,130440,24530
Michael Winnick,19093,43560,24467
Aleksandr Rogozhkin,1699,26153,24454
Benjamín Naishtat,3438,27880,24442
Jingming Guo,19590,44026,24436
Lin Oeding,324340,348750,24410
Bette Gordon,9112,33490,24378
JK Youn,37180,61490,24310
Hong Sang-soo,11890,36190,24300
Matthew Ryan Hoge,218766,243060,24294
Michael Taverna,37384,61580,24196
Aleksandr Sokurov,5858,30050,24192
Ramón Salazar,16210,40350,24140
Michael Moore,180160,204270,24110
Takashi Doscher,14873,38920,24047
Philippe Van Leeuw,5790,29820,24030
Steve Stanulis,22262,46286,24024
Gérald Hustache-Mathieu,5650,29660,24010
Emmanuel Courcol,5440,29430,23990
Oliver Schmitz,7432,31410,23978
Juho Kuosmanen,26240,50170,23930
Karen Oganesyan,11388,35250,23862
Fred Olen Ray,11700,35520,23820
Nagesh Kukunoor,16568,40373,23805
Andrew Davis,958460,982230,23770
Xavier Beauvois,2099,25830,23731
Jeff Barnaby,30520,54220,23700
Catherine Corsini,3062,26750,23688
Rémi Bezançon,24340,47970,23630
Barry Avrich,1449,25058,23609
Taylor Morden,25723,49316,23593
Alex Winter,7810,31358,23548
Kaige Chen,7080,30560,23480
Martin Asphaug,4440,27890,23450
Steven Goldmann,18680,42110,23430
Rolf de Heer,4680,28090,23410
Barry Alexander Brown,1290,24680,23390
Agnès Merlet,5268,28640,23372
Kurtis David Harder,27288,50650,23362
Andrew Lau,1304,24660,23356
Jim Taihuttu,45476,68820,23344
Yan Han,6520,29860,23340
Ulli Lommel,649,23973,23324
Francesco Munzi,2111,25290,23179
Roel Reiné,7470,30640,23170
Terence Davies,40110,63250,23140
Shawn Seet,18040,41140,23100
Çagatay Tosun,30348,53400,23052
Ian Iqbal Rashid,44720,67770,23050
Magnus von Horn,15600,38550,22950
Sarah Gavron,32770,55710,22940
Maria Pulera,56277,79200,22923
Rob W. King,61613,84520,22907
Claudia Llosa,17800,40680,22880
Felix Chong,28425,51290,22865
Danny Lerner,12290,35140,22850
Charles Matthau,196820,219643,22823
Adamo P. Cultraro,38274,61070,22796
Uwe Boll,15626,38389,22763
Hugo Gélin,38055,60790,22735
Steven Silver,92816,115520,22704
Stuart McDonald,9672,32360,22688
Milap Zaveri,23205,45860,22655
Sherry Hormann,1955,24520,22565
Mitsuo Hashimoto,74665,97210,22545
David Keating,19690,42174,22484
Ashok G.,24048,46497,22449
Jorge Ameer,4378,26794,22416
Skye Borgman,201030,223360,22330
Philippe Haïm,15169,37370,22201
Chanya Button,26570,48770,22200
Gerard Stembridge,14266,36365,22099
Stephen Fung,11630,33700,22070
Louis Garrel,21540,43580,22040
Young-Joo Byun,1058,23093,22035
Natasha Kermani,6374,28400,22026
Nigina Sayfullaeva,7950,29970,22020
Tom DeNucci,7102,29120,22018
Eric Khoo,2600,24560,21960
Alain Guiraudie,3190,25140,21950
Stéphane Demoustier,1810,23740,21930
François Girard,31448,53370,21922
Alejandro Brugués,88290,110100,21810
Anna Justice,1598,23370,21772
Antoine Blossier,8271,30030,21759
Peter Sehr,4061,25770,21709
Pedring Lopez,3016,24660,21644
Nico Mastorakis,18010,39654,21644
David Victori,15193,36820,21627
Will Gluck,461190,482730,21540
Ryan Shiraki,26759,48270,21511
Mitchell Altieri,7732,29190,21458
Anthony Scott Burns,90780,112210,21430
Fernando Colomo,3647,25042,21395
Laura Mañá,16907,38280,21373
Jeffrey Schwarz,6182,27506,21324
Vincent Garenq,14230,35530,21300
Reza Bagher,34984,56200,21216
Sylvie Verheyde,958,22160,21202
Michael G. Kehoe,4540,25740,21200
Philippe Caland,6966,28120,21154
Gérard Corbiau,2940,24010,21070
Patricio Valladares,3459,24520,21061
Frank Whaley,29660,50700,21040
John Laing,2560,23583,21023
Ellie Kanner,2433,23450,21017
Sergei Dvortsevoy,1668,22680,21012
Dror Soref,7756,28740,20984
Lukas Feigelfeld,49088,70050,20962
Jay Martin,26070,47010,20940
Jeong-woo Park,11827,32710,20883
Sébastien Marnier,10370,31250,20880
Sammo Kam-Bo Hung,4387,25243,20856
Ferenc Török,22217,43040,20823
Stephen Poliakoff,36300,57100,20800
Teona Strugar Mitevska,4735,25530,20795
Tony Krantz,53170,73960,20790
Michael Meredith,16752,37530,20778
Paula Ortiz,14377,35140,20763
Jehane Noujaim,73375,94090,20715
Alfredo Rodriguez de Villa,8783,29462,20679
Robert Salis,1026,21670,20644
John Paragon,20600,41200,20600
Eytan Fox,9258,29840,20582
Ping Lumpraploeng,14095,34630,20535
Arnaud Desplechin,4660,25190,20530
Cãlin Peter Netzer,3756,24280,20524
Nawapol Thamrongrattanarit,7979,28480,20501
Peter Hedges,221510,242010,20500
Kenji Kodama,3455,23950,20495
Yann Gozlan,23740,44190,20450
Rose Troche,23320,43750,20430
Tom Six,178086,198510,20424
Xavier Durringer,4675,25030,20355
Daniel Algrant,17540,37892,20352
Kim Sung-hoon,28082,48420,20338
Vince Offer,27500,47830,20330
Dae-woo Kim,4170,24430,20260
Harry Baweja,20320,40572,20252
Erik Van Looy,8670,28900,20230
Kris Rey,16429,36570,20141
Wilson Coneybeare,18541,38680,20139
Lynn Shelton,27680,47812,20132
Jayro Bustamante,32670,52798,20128
Lucio A. Rojas,5026,25130,20104
Jeff Celentano,3862,23952,20090
Tomas Alfredson,19949,40000,20051
Israel Horovitz,80362,100410,20048
Paula van der Oest,5964,25960,19996
Kitarô Kôsaka,3302,23280,19978
Onur Tukel,3368,23337,19969
Lourens Blok,2548,22510,19962
Patricia Ferreira,3762,23718,19956
Kirby Dick,11218,31130,19912
Orhan Oguz,8043,27935,19892
Todd Sheets,2474,22353,19879
Bradley Rust Gray,12142,32000,19858
Richard Brandes,26760,46572,19812
Philippe Diaz,2307,22110,19803
Götz Spielmann,1019,20732,19713
Jeethu Joseph,11043,30750,19707
Hyun-seok Kim,3513,23200,19687
Gabriel Mascaro,2721,22390,19669
Giuseppe Capotondi,42210,61820,19610
Daniel Robbins,18899,38490,19591
Nadav Schirman,746,20336,19590
Valérie Lemercier,14372,33950,19578
Gregg Bishop,57124,76670,19546
Jonathan Winfrey,1266,20750,19484
Giles Alderson,22608,42080,19472
Paul Rachman,14560,33910,19350
Roy Knyrim,12070,31390,19320
Aleksey German Jr.,2974,22280,19306
Matthew Hope,15560,34770,19210
Reem Kherici,21570,40760,19190
Rob Hardy,6132,25300,19168
Eran Riklis,1907,21050,19143
Mark Steilen,5486,24620,19134
Lee Hae-young,27345,46430,19085
Ronny Yu,9878,28950,19072
Matthew Leutwyler,8552,27522,18970
Blair Treu,9818,28786,18968
Eric Steven Stahl,10318,29270,18952
Callie Khouri,209890,228820,18930
Charlie Kaufman,985540,1004460,18920
Ousmane Sembene,22773,41600,18827
Adrian Noble,3920,22730,18810
Salvador Calvo,36070,54660,18590
William Tannen,3160,21663,18503
Erik Canuel,5847,24330,18483
Svyatoslav Podgaevskiy,11494,29970,18476
Alante Kavaite,15762,34200,18438
Travis Fine,16556,34990,18434
Charlotte Brändström,4990,23392,18402
Anne K. Black,20410,38780,18370
Lisa Krueger,22120,40490,18370
Alexandre Arcady,5316,23680,18364
Robert Kirbyson,9122,27485,18363
Fernando Frias,76088,94440,18352
Mark O'Connor,2385,20720,18335
Osman Sinav,20966,39282,18316
Eirik Svensson,6020,24330,18310
Caner Özyurtlu,28086,46348,18262
Juan Martínez Moreno,6584,24800,18216
Madeleine Sackler,10695,28870,18175
Ross Boyask,4580,22710,18130
Jackie Chan,227530,245650,18120
Brandon Christensen,45180,63270,18090
Saeed Soheili,697,18771,18074
Dean Semler,79446,97484,18038
Craig Singer,5587,23590,18003
Chris Sun,20903,38890,17987
Geoffrey Enthoven,2025,20005,17980
Jesús Garay,4668,22640,17972
Ed Herzog,1839,19726,17887
John R. Carter,9380,27260,17880
Angel Manuel Soto,12526,30400,17874
Shyam Benegal,6981,24808,17827
Guillaume Brac,8097,25870,17773
Richie Mehta,26714,44450,17736
Tommy O'Haver,55996,73680,17684
Charles Martin Smith,9050,26710,17660
Michael Keusch,2649,20300,17651
Henk Pretorius,6988,24630,17642
Gabriel Le Bomin,2534,20150,17616
Anders Østergaard,5138,22736,17598
Sönke Wortmann,10514,28090,17576
Vince Di Meglio,12674,30200,17526
Samir Karnik,13468,30948,17480
Werner Herzog,7310,24748,17438
Maria Schrader,9248,26680,17432
Louis Malle,34320,51740,17420
Ian Cheney,3647,21064,17417
Abner Pastoll,38120,55500,17380
Andrzej Wajda,16060,33430,17370
Rudolf Buitendach,3717,21070,17353
Brendan Steere,70298,87560,17262
Sean Olson,7500,24740,17240
Dean Murphy,7833,25030,17197
Nuel C. Naval,3260,20440,17180
Agustí Villaronga,11648,28810,17162
Rohena Gera,68976,86120,17144
Chi-Kin Kwok,2420,19560,17140
Ash Baron-Cohen,13056,30190,17134
David M. Rosenthal,18456,35580,17124
Stephen Cornwell,5270,22350,17080
Christian Tafdrup,8930,26010,17080
Mathieu Kassovitz,11740,28800,17060
Raymond De Felitta,4270,21289,17019
Rumle Hammerich,6762,23730,16968
Rocco DeVilliers,17671,34630,16959
Brian Goodman,132540,149490,16950
Beom-gu Cho,8814,25730,16916
Shawn Christensen,100850,117760,16910
Jean-Marie Poiré,30520,47430,16910
Filip Renc,3245,20108,16863
David Lister,1524,18340,16816
Will Wallace,1606,18420,16814
Chi Leung 'Jacob' Cheung,1532,18330,16798
Stig Björkman,8199,24990,16791
Wojciech Smarzowski,48460,65240,16780
Peter Medak,81623,98398,16775
Talal Derki,10730,27500,16770
Steve Barnett,12436,29200,16764
Sandra Goldbacher,31620,48360,16740
Daisy von Scherler Mayer,68220,84900,16680
Steve Boyum,31930,48600,16670
Tristan Séguéla,6371,23040,16669
Jong-ho Huh,10888,27550,16662
Stéphane Lafleur,6110,22770,16660
Emmanuel Carrère,39382,56020,16638
Jordan Downey,54800,71420,16620
Seok-hoon Lee,6016,22607,16591
Zak Penn,44340,60912,16572
Philippe Lioret,2800,19370,16570
Irwin Winkler,96040,112590,16550
Leena Yadav,15605,32140,16535
Tung-Shing Yee,9470,26000,16530
Ümit Ünal,14011,30516,16505
Iñaki Dorronsoro,3620,20090,16470
Ben Shelton,39422,55890,16468
Rodrigo H. Vila,484,16920,16436
Sophie Deraspe,2272,18700,16428
Jake Paltrow,87530,103930,16400
Johannes Nyholm,11690,28080,16390
Wei Tung,6861,23236,16375
Gabriele Muccino,12904,29250,16346
Wanuri Kahiu,16800,33120,16320
Claude Chabrol,6234,22550,16316
Diego Cohen,9832,26070,16238
Gregory Hatanaka,9992,26201,16209
Tinto Brass,47250,63450,16200
David Caffrey,21770,37960,16190
Vladan Nikolic,3417,19601,16184
Jay Anania,936,17110,16174
Richard Linklater,235450,251590,16140
Ali Zamani,3862,19890,16028
Mukunda Michael Dewil,143928,159840,15912
Kevin Allen,64290,80199,15909
Amal Neerad,29120,45012,15892
Miroslav Lekic,13021,28904,15883
Soi Cheang,1711,17590,15879
Vivian Qu,9105,24960,15855
Ognjen Glavonic,1967,17810,15843
Andreas Dresen,5463,21290,15827
Mora Stephens,65174,80970,15796
Grímur Hákonarson,915,16690,15775
Steven Schachter,21200,36950,15750
Jane Simpson,2350,18060,15710
Ella Lemhagen,17750,33396,15646
János Szász,3294,18875,15581
Robert Hall,29048,44608,15560
Rafael Eisenman,2195,17750,15555
Sijie Dai,295,15796,15501
Stephen Bradley,2960,18450,15490
Yoshihiro Nakamura,2325,17804,15479
Julie Davis,10998,26460,15462
Letia Clouston,6572,22026,15454
Chang-min Choo,3666,19112,15446
Stephan Elliott,11540,26980,15440
Péter Bergendy,19012,34430,15418
Edoardo Leo,6548,21952,15404
Christopher Alender,63388,78780,15392
Kei Kumai,754,16080,15326
Amanda Sthers,50138,65449,15311
Ozan Açiktan,39770,55050,15280
K.C. Bascombe,2990,18249,15259
Christian Vincent,8884,24110,15226
Tosca Musk,11072,26292,15220
Sophie Letourneur,1826,17040,15214
Wi Ding Ho,6562,21730,15168
Alex Steyermark,20640,35795,15155
Des McAnuff,28430,43554,15124
Dieter Berner,248,15340,15092
Sturla Gunnarsson,5672,20753,15081
Paul Dugdale,4520,19594,15074
Naomi Kawase,4788,19830,15042
Benjamin Ree,28249,43270,15021
Vikram Gandhi,61956,76920,14964
Matthieu Delaporte,5450,20410,14960
Atul Sabharwal,44914,59870,14956
Yesim Ustaoglu,14185,29130,14945
Nora Fingscheidt,134035,148900,14865
Giacomo Campiotti,2350,17190,14840
Stefan Westerwelle,1083,15890,14807
Bill Morrison,6814,21570,14756
J.C. Chandor,1451740,1466480,14740
Aleksey Balabanov,7890,22600,14710
Caroline Vignal,23136,37840,14704
Karl Mueller,44090,58790,14700
Renzo Martinelli,5603,20300,14697
Liz Gill,2812,17500,14688
Aaron Woodley,8225,22900,14675
Pat O'Connor,2570,17240,14670
Bertrand Bonello,11366,26020,14654
Kiyoshi Kurosawa,3876,18510,14634
Takahiro Imamura,7730,22320,14590
Andrzej Zulawski,7390,21960,14570
Vadim Shmelyov,4334,18900,14566
Denys Arcand,28360,42800,14440
Jan P. Matuszynski,34216,48640,14424
Harold Cronk,11606,26022,14416
Brian Crano,35002,49410,14408
Xiao Feng,33638,48020,14382
Ethan Hawke,22180,36530,14350
Ron Bonk,1699,16044,14345
Yu-Hsun Chen,4738,19080,14342
Jed Weintrob,15368,29640,14272
Ian Edelman,33770,48010,14240
James C.E. Burke,2330,16532,14202
Bahram Tavakoli,10555,24748,14193
Michal Marczak,4446,18630,14184
Simon Hunter,13220,27400,14180
Fernando Fragata,8811,22990,14179
Anne Fontaine,6293,20470,14177
Ui-Seok Kim,540,14670,14130
Joji Matsuoka,1270,15381,14111
Kate Melville,19535,33640,14105
Felix Randau,15600,29690,14090
S.V. Krishna Reddy,559,14619,14060
Marco Bonfanti,13280,27340,14060
Rob Meltzer,126596,140650,14054
Peter Ho-Sun Chan,4006,18022,14016
Mickey Keating,14800,28811,14011
Jean-Luc Godard,16030,29990,13960
Mohamed Diab,48130,62040,13910
Robert Kurtzman,12950,26830,13880
William Nicholson,48270,62150,13880
Balaji Mohan,21004,34870,13866
Mandie Fletcher,29274,43120,13846
David Trueba,7027,20860,13833
Neil Johnson,11517,25344,13827
Jon Garcia,25663,39470,13807
Kourosh Ahari,20986,34760,13774
Edouard Deluc,10048,23810,13762
Pedro Costa,11010,24740,13730
Jon Sherman,22092,35800,13708
Norberto López Amado,15265,28970,13705
Tennyson Bardwell,30655,44340,13685
João Pedro Rodrigues,23978,37660,13682
Rowan Athale,42470,56090,13620
Chad Burns,23846,37430,13584
Philippe Lacôte,15170,28730,13560
Daniel Monzón,10420,23940,13520
Jae-gon Son,4709,18220,13511
Gregory Dark,3260,16750,13490
Han Jae-rim,11265,24750,13485
Peter A. Dowling,34920,48350,13430
Axel Sand,10865,24280,13415
Denis Côté,1681,15080,13399
Ahmad Reza Darvish,1056,14450,13394
Brandon Nutt,24298,37690,13392
Petra Biondina Volpe,17100,30490,13390
Alessio Liguori,4752,18130,13378
Kjell-Åke Andersson,4126,17504,13378
Marcel Sarmiento,9208,22560,13352
Dave Schram,15104,28450,13346
Esteban Sapir,32913,46230,13317
Wolfgang Becker,2030,15320,13290
Reto Salimbeni,20624,33900,13276
Pierre-François Martin-Laval,5005,18190,13185
Hans Steinbichler,3266,16450,13184
Masayuki Suzuki,7788,20962,13174
Gavin Lin,501,13650,13149
Gary Wang,3140,16270,13130
Valerie Breiman,9004,22060,13056
Nae Caranfil,13538,26594,13056
Emily Atef,2435,15490,13055
Matt Wolf,8542,21590,13048
Nick Vallelonga,1560,14592,13032
Tristan Price,8549,21573,13024
Karthik Subbaraj,106600,119580,12980
Ji-Yeong Hong,3545,16490,12945
Reg Traviss,9990,22920,12930
Craig Lahiff,7205,20130,12925
Alankrita Shrivastava,65863,78690,12827
Jeremy Sims,24842,37650,12808
Vash,6434,19230,12796
Xavier Giannoli,5885,18680,12795
Tuva Novotny,11650,24440,12790
Adam Rifkin,36390,49150,12760
Richard Gray,36422,49170,12748
Konstantin Statskiy,5594,18330,12736
Reverge Anselmo,7238,19970,12732
Dmitriy Meskhiev,1080,13754,12674
Mark Murphy,4332,16970,12638
Cheol-ha Lee,4524,17160,12636
Francesco Rosi,5700,18320,12620
Cédric Kahn,778,13350,12572
Eva Isaksen,6483,19016,12533
Goran Radovanovic,369,12885,12516
Hervé Renoh,5460,17950,12490
Ha Yoo,8486,20970,12484
Rodrigo Sepúlveda,2508,14970,12462
Stacy Cochran,11348,23808,12460
Kirill Mikhanovsky,9674,22130,12456
Rod Hardy,112033,124470,12437
Branko Schmidt,1963,14375,12412
Louis-Julien Petit,3760,16170,12410
Mijke de Jong,2555,14952,12397
Keith Parmer,21788,34180,12392
Bobby Boermans,10760,23126,12366
Benjamin Heisenberg,7883,20244,12361
Adam Salky,44900,57220,12320
Marc Hampson,637,12945,12308
Andrew Cohn,29864,42150,12286
Dallas Jenkins,15358,27614,12256
Tim Kirkby,110217,122450,12233
Leslie Greif,18110,30330,12220
Cherie Nowlan,7370,19590,12220
Harold Becker,275550,287710,12160
Tony Gatlif,11500,23650,12150
Muayad Alayan,1040,13170,12130
Richard Wong,31982,44110,12128
Yong-ho Son,11192,23320,12128
Sanaa Hamri,144750,156860,12110
Stere Gulea,5550,17660,12110
Manouchehr Hadi,842,12936,12094
Rusty Nixon,6170,18246,12076
Midi Z,1193,13260,12067
Olivier Masset-Depasse,8016,20060,12044
Joel Viertel,43280,55320,12040
Arnaud Lemort,13178,25210,12032
Lili Horvát,15880,27880,12000
Conor McMahon,23410,35390,11980
Cédric Jimenez,123080,135020,11940
Kar Lok Chin,2559,14470,11911
Vanessa Jopp,6230,18140,11910
David Batty,9782,21680,11898
Rob Stefaniuk,29965,41856,11891
Joe Robert Cole,31955,43820,11865
Tim Trachte,4042,15902,11860
Harmesh Malhotra,1312,13164,11852
Scott Cooper,948540,960360,11820
Ariel Zeitoun,6654,18460,11806
Clement Virgo,2240,14030,11790
Sam Feder,49182,60970,11788
Guido Chiesa,2718,14500,11782
Antonello Grimaldi,14162,25944,11782
John McKay,39630,51410,11780
Eoin Macken,2292,14060,11768
Guy Maddin,16410,28162,11752
Phillip Guzman,14920,26655,11735
Anne Zohra Berrached,6160,17870,11710
Charles McDougall,7070,18780,11710
Lucien Jean-Baptiste,18325,30030,11705
Hari Sama,2622,14320,11698
Harvey Kahn,7470,19160,11690
Charles-Olivier Michaud,4850,16510,11660
Herman Yau,1265,12912,11647
Michael Schroeder,2710,14356,11646
Marie Kreutzer,2389,14010,11621
Elie Wajeman,6754,18360,11606
Carine Tardieu,8158,19740,11582
Borja Cobeaga,16975,28527,11552
Robert Downey Sr.,5390,16930,11540
Pirjo Honkasalo,1100,12630,11530
Jonas Carpignano,17930,29460,11530
Nicolas Pariser,15965,27470,11505
Jenõ Hódi,2659,14150,11491
Vicky Wight,46288,57770,11482
Sinan Çetin,22966,34444,11478
Jon Wright,65470,76920,11450
Konstantin Maksimov,8480,19910,11430
Serge Bozon,5181,16600,11419
Ant Horasanli,6179,17560,11381
Rob Spera,550,11922,11372
Kristina Buozyte,17305,28630,11325
Riccardo Milani,3409,14730,11321
Lawrence Fowler,16230,27550,11320
Masaya Fujimori,10119,21434,11315
Mark Hartley,46980,58293,11313
D. Kerry Prior,101937,113250,11313
Marius Holst,6980,18290,11310
Roberto Sneider,12178,23480,11302
Guillaume Senez,4880,16140,11260
Anders Refn,6392,17590,11198
John Mackenzie,16540,27720,11180
Aigars Grauba,14138,25310,11172
Jae-geun Yoon,10000,21160,11160
Icíar Bollaín,9295,20410,11115
Jun'ichi Mori,5554,16660,11106
Dan Ireland,40470,51570,11100
Saeed Roustayi,176260,187360,11100
Olivier Abbou,21773,32850,11077
Sheldon Wilson,2420,13490,11070
Niall Johnson,4710,15770,11060
Emanuele Crialese,21094,32150,11056
Stéphane Brizé,11132,22180,11048
Wayne Isham,4643,15660,11017
Susan Seidelman,10728,21690,10962
Gaurav Seth,1672,12600,10928
Frederikke Aspöck,3360,14278,10918
George Ovashvili,13450,24340,10890
Carl Reiner,29990,40870,10880
Mohamed Khan,4466,15342,10876
Willard Carroll,8740,19600,10860
Jonás Trueba,4853,15710,10857
Ivan Calbérac,4710,15560,10850
Ulrich Seidl,1794,12620,10826
Tolga Örnek,13090,23912,10822
Jorge Ramírez Suárez,5143,15951,10808
César Rodrigues,18899,29680,10781
Dong-won Kim,7023,17790,10767
Shinsuke Sato,30840,41600,10760
Ayumu Watanabe,26455,37180,10725
Liang Zhao,1426,12150,10724
Narges Abyar,21076,31798,10722
Jun Ichikawa,677,11394,10717
Álvaro Fernández Armero,4916,15630,10714
Alan Brown,18080,28780,10700
Sergey Loznitsa,1954,12640,10686
Jem Cohen,3730,14400,10670
Rohan Sippy,32736,43395,10659
Heung-sun Jeong,2973,13620,10647
Roberto Faenza,2684,13310,10626
Jang Sun-woo,1338,11960,10622
Mark Jenkin,42601,53220,10619
Daniel Adams,2068,12662,10594
Derek Jarman,15188,25779,10591
Jerzy Skolimowski,10116,20700,10584
Justin Steele,8210,18750,10540
Alex Kendrick,46740,57280,10540
Angela Schanelec,1488,12020,10532
John V. Soto,31190,41721,10531
Haofeng Xu,6730,17248,10518
Christopher Menaul,6050,16530,10480
Venkat Prabhu,21513,31979,10466
Sam Macaroni,15270,25730,10460
Birger Larsen,2596,13035,10439
Christian Schwochow,4000,14430,10430
Robert Marcarelli,2943,13372,10429
Sudabeh Mortezai,1728,12152,10424
Emmanuel Finkiel,3450,13860,10410
Nicolas Benamou,26456,36830,10374
Cathy Garcia-Sampana,3534,13870,10336
Andrew van den Houten,20690,31010,10320
Raymond Martino,1098,11410,10312
Mitsutoshi Tanaka,1190,11485,10295
Giorgio Diritti,6965,17260,10295
Jacques Doillon,4166,14430,10264
Miwa Nishikawa,8232,18430,10198
Kodi Ramakrishna,453,10643,10190
Kyu-sung Jang,2988,13170,10182
Mark Joffe,22160,32330,10170
Tony Chan,2184,12350,10166
Yong-gyun Kim,12645,22800,10155
Ngai Choi Lam,10850,21003,10153
Annette K. Olesen,8316,18460,10144
Lola Doillon,6138,16280,10142
Antonio Tublen,11406,21540,10134
Matt Shapira,8318,18440,10122
Blaine Thurier,10556,20630,10074
Mani Haghighi,12901,22970,10069
Ning Hao,6107,16170,10063
Jerry Rothwell,1413,11460,10047
Junfeng Boo,8136,18180,10044
Scott Teems,26409,36450,10041
G.J. Echternkamp,2317,12350,10033
Philip Ridley,93780,103800,10020
John Bradshaw,1810,11818,10008
Marcel Walz,1662,11665,10003
Craig Clyde,2374,12360,9986
Mai Masri,1032,11000,9968
Antony Szeto,6245,16212,9967
Ira Sachs,10032,19990,9958
Gustavo Ron,8484,18420,9936
Chris Ver Wiel,39946,49880,9934
Alexis Dos Santos,15910,25840,9930
Barry W. Blaustein,94870,104790,9920
Stefano Mordini,2712,12626,9914
Waymon Boone,8790,18700,9910
Paolo Barzman,4675,14580,9905
Scott Ziehl,8780,18684,9904
Andy Garcia,89468,99360,9892
Alain Gomis,1652,11530,9878
Alexs Stadermann,13756,23630,9874
Ebrahim Hatamikia,13893,23746,9853
Tom Nagel,17664,27510,9846
Yôichi Sai,1317,11160,9843
Andrew Bowler,88642,98480,9838
Lee Han,19925,29760,9835
Damion Dietz,2621,12432,9811
Pierre Schoeller,5660,15460,9800
José Pepe Bojórquez,4780,14571,9791
Tristán Bauer,489,10279,9790
Javier Ruiz Caldera,32390,42180,9790
Joyce Bernal,510,10294,9784
Jeff Stanzler,5630,15390,9760
Martin Lund,2640,12380,9740
Tim Kirkman,10080,19810,9730
Satoshi Kon,965570,975300,9730
Kristoffer Tabori,8254,17950,9696
Randa Haines,59270,68940,9670
Sandra Wollner,4885,14510,9625
Henning Carlsen,1728,11310,9582
Donald Farmer,2655,12212,9557
Sooraj R. Barjatya,226110,235660,9550
Óskar Thór Axelsson,43650,53180,9530
J. Christian Ingvordsen,1100,10624,9524
Gonzalo Tobal,15796,25320,9524
Peter Richardson,16570,26090,9520
J.Q. Lee,9930,19440,9510
Monique Gardenberg,4168,13642,9474
Kim Mordaunt,22566,32040,9474
Harry Basil,5475,14944,9469
Renaud Gauthier,21806,31270,9464
N. Chandra,2695,12146,9451
Gregory Orr,7680,17130,9450
Tony Ayres,4846,14289,9443
Matthew Newton,3581,13020,9439
Homayoon Ass'adian,491,9927,9436
Robert Sarkies,11630,21054,9424
Rohit Jugraj,6854,16276,9422
Britt Allcroft,38428,47840,9412
Rob Diamond,1275,10682,9407
Gianfranco Rosi,3834,13240,9406
Jun'ya Satô,7797,17184,9387
Daming Chen,504,9885,9381
Sicheng Chen,22350,31730,9380
Michael Steinberg,24990,34370,9380
Alejandro Montiel,22042,31420,9378
Danielle Arbid,1835,11210,9375
Elbert van Strien,14510,23870,9360
Emmanuelle Bercot,5770,15130,9360
Svetozar Ristovski,10667,20025,9358
Kelvin Tong,9569,18925,9356
Darin Ferriola,8384,17739,9355
Lydia Dean Pilcher,84428,93760,9332
Daniel Nolasco,3630,12960,9330
Alistair Banks Griffin,24452,33770,9318
Nikos Grammatikos,4372,13679,9307
Josef Rusnak,3424,12717,9293
Justin McConnell,6023,15300,9277
Véra Belmont,2394,11650,9256
José Luis Cuerda,3123,12366,9243
