Director,First Average Rating,Last Average Rating,Career Progression Rating
Yorgos Lanthimos,4.7,7.5,2.8
Steven Nesbit,2.5,5.3,2.8
Jean-Louis Daniel,2.5,5.3,2.8
Joe Pantoliano,5.7,8.5,2.8
Serhiy Lysenko,5.2,8.0,2.8
Ed Hansen,4.2,7.0,2.8
Taylor Sheridan,4.9,7.7,2.8
Graham Streeter,5.7,8.5,2.8
Kenneth A. Carlson,5.2,8.0,2.8
David Chirchirillo,2.7999999999999994,5.599999999999999,2.7999999999999994
Sergio Esquenazi,2.7999999999999994,5.599999999999999,2.7999999999999994
Gagan Puri,3.2999999999999994,6.099999999999999,2.7999999999999994
David McKenzie,3.7999999999999994,6.599999999999999,2.7999999999999994
Salvador Simó,4.3,7.099999999999999,2.799999999999999
Tony Stone,4.3,7.099999999999999,2.799999999999999
Janaya Black,5.400000000000001,8.2,2.799999999999998
Desmond Gumbs,5.066666666666666,7.833333333333333,2.7666666666666666
Tom Wadlow,3.2999999999999994,6.033333333333334,2.7333333333333347
Dan Clark,2.7000000000000006,5.433333333333334,2.733333333333333
Christopher Kublan,4.2,6.933333333333333,2.7333333333333325
Shyam Madiraju,4.7,7.400000000000001,2.700000000000001
Neil Mackay,4.2,6.900000000000001,2.700000000000001
Bryan Singer,5.2,7.900000000000001,2.700000000000001
Fredi 'Kruga' Nwaka,2.7999999999999994,5.5,2.7000000000000006
Julian Gilbey,3.2999999999999994,6.0,2.7000000000000006
Apoorva Lakhia,3.2999999999999994,6.0,2.7000000000000006
William Winckler,4.0,6.7,2.7
Bruce David Klein,4.6,7.3,2.7
Adam Rifkin,4.3,7.0,2.7
John Ridley,5.1,7.8,2.7
Hanna Maylett,3.0,5.7,2.7
Martín Garrido Barón,4.6,7.3,2.7
Dawn Natalia,4.6,7.3,2.7
Manny Serrano,3.0,5.7,2.7
Harris Done,5.7,8.4,2.7
Hassen Ferhani,4.1,6.8,2.7
Max Bellocchio,3.5,6.2,2.7
Joe McClean,4.8,7.5,2.7
Rasool Mollagholi Poor,4.8,7.5,2.7
Aaron L. Williams,3.8000000000000003,6.5,2.6999999999999997
Deepak Tijori,3.8000000000000003,6.5,2.6999999999999997
Caleb Johnson,3.6,6.3,2.6999999999999997
Brian Kelly,2.6,5.3,2.6999999999999997
Mehmet Ada Öztekin,5.5,8.2,2.6999999999999993
Satoru Hirohara,1.6000000000000003,4.3,2.6999999999999993
Malcolm Ingram,4.7,7.3999999999999995,2.6999999999999993
Jun Aristorenas,4.2,6.8999999999999995,2.6999999999999993
Claudia Sparrow,5.5,8.2,2.6999999999999993
Anant Mahadevan,5.266666666666667,7.966666666666666,2.6999999999999993
Peter Mimi,3.4,6.099999999999999,2.699999999999999
Francesco Fanelli,4.9,7.599999999999999,2.6999999999999984
Vyacheslav Ross,4.9,7.599999999999999,2.6999999999999984
Hagar Ben-Asher,4.4,7.099999999999999,2.6999999999999984
Keith Arem,4.9,7.599999999999999,2.6999999999999984
James Keach,5.1,7.766666666666667,2.666666666666667
Sherman Wong,4.233333333333333,6.8999999999999995,2.666666666666666
Chris Good Goodwin,5.1,7.766666666666666,2.666666666666666
Bill Cowell,1.8,4.466666666666666,2.666666666666666
Bruno Pischiutta,5.599999999999999,8.233333333333334,2.6333333333333355
Stig Björkman,4.766666666666667,7.400000000000001,2.6333333333333346
Daisuke Yamanouchi,2.766666666666667,5.400000000000001,2.633333333333334
Felipe Cazals,3.233333333333333,5.866666666666667,2.633333333333334
Dereck Joubert,4.9,7.533333333333334,2.6333333333333337
Phil Scarpaci,4.9,7.533333333333334,2.6333333333333337
Bashar Shbib,5.1,7.733333333333333,2.6333333333333337
Zac Adams,4.766666666666667,7.3999999999999995,2.633333333333333
John Feldman,4.5,7.133333333333333,2.633333333333333
Jim Valdez,2.7000000000000006,5.333333333333333,2.6333333333333324
Paul Young,2.7999999999999994,5.400000000000001,2.600000000000002
Tetsuya Mariko,4.3,6.900000000000001,2.6000000000000014
