Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Robert Schwentke,12882003,12396810,-485193
Kar-Wai Wong,5132809,4643064,-489745
Julio Medem,1728393,1236706,-491687
Xavier Dolan,2678878,2164739,-514139
Ruben Fleischer,37051772,36529552,-522220
Christian Duguay,1051227,520623,-530604
Laurent Tirard,1076559,506914,-569645
Hark Tsui,1090085,513367,-576718
Peter Greenaway,790986,195294,-595692
Abbas Kiarostami,1905207,1259768,-645439
Tim Hill,3222940,2571328,-651612
Jim Jarmusch,7969540,7289520,-680020
David Zucker,10018920,9334716,-684204
Kiyoshi Kurosawa,977636,289013,-688623
Cédric Klapisch,1588231,894740,-693491
Donald Petrie,3991047,3281150,-709897
Barry Levinson,2678617,1954958,-723659
Bille August,1361274,625998,-735276
Wayne Wang,2278263,1534221,-744042
Isabel Coixet,1644882,894307,-750575
Mark L. Lester,883083,110592,-772491
Antoine Fuqua,19872409,19096130,-776279
Sean Anders,11099194,10275514,-823680
Kaige Chen,1359414,454181,-905233
Rod Lurie,4775457,3864664,-910793
Fatih Akin,3260657,2346552,-914105
Ernie Barbarash,1995780,1073764,-922016
Sean McNamara,1328288,371534,-956754
Mike Leigh,3731947,2763052,-968895
Richard Donner,13184245,12179175,-1005070
John Dahl,5368328,4269075,-1099253
George Tillman Jr.,7938585,6766260,-1172325
Anthony Hickox,1407415,113821,-1293594
John Woo,3557596,2234122,-1323474
Irwin Winkler,3652946,2323108,-1329838
Brian Helgeland,15297366,13871466,-1425900
Peter Hyams,3441358,1980098,-1461260
Agnieszka Holland,2597646,1069637,-1528009
Jean-François Richet,4867653,3308730,-1558923
Stanley Tong,2673182,1113738,-1559444
Catherine Hardwicke,6104229,4508059,-1596170
Tarsem Singh,12451828,10784886,-1666942
Anthony Minghella,14485908,12814967,-1670941
Brett Ratner,17685627,15966568,-1719059
Joseph Ruben,5295464,3547498,-1747966
P.J. Hogan,8938082,7189990,-1748092
Takashi Miike,2480573,715222,-1765351
Uwe Boll,2583060,794106,-1788954
Miguel Arteta,4059555,2074882,-1984673
Joe Carnahan,15292665,13260671,-2031994
Paul Feig,15666981,13599111,-2067870
Robert Redford,6058862,3875708,-2183154
Les Mayfield,5557513,3337721,-2219792
Tom Tykwer,9795610,7526620,-2268990
Michael Caton-Jones,4556046,2141208,-2414838
Rob Minkoff,9553600,7084351,-2469249
Simon Wincer,4454169,1959518,-2494651
Robert Rodriguez,19747196,17151334,-2595862
Kunihiko Yuyama,2987128,369479,-2617649
Paul Weitz,5197694,2486006,-2711688
