Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
John Dahl,1280314,1084909,-195405
Gordon Chan,304218,102679,-201539
Franco Zeffirelli,682417,475830,-206587
Peter Hyams,821554,613282,-208272
Philippe Le Guay,306101,91574,-214527
Hal Hartley,360906,142157,-218749
Geoff Murphy,1459321,1239924,-219397
Fedor Bondarchuk,679033,458373,-220660
Wim Wenders,513225,292500,-220725
Sean McNamara,368879,145982,-222897
Andrew Haigh,1414644,1187491,-227153
Silvio Soldini,327047,98142,-228905
Volker Schlöndorff,409040,179404,-229636
Bill Duke,545883,315949,-229934
Bahman Ghobadi,517175,286877,-230298
Laurent Tirard,377508,144543,-232965
Mike Figgis,767467,532105,-235362
Nicholas Hytner,1424930,1189099,-235831
Sarik Andreasyan,502230,261503,-240727
Caroline Link,406675,164006,-242669
Nikita Mikhalkov,384364,139860,-244504
Shunji Iwai,322733,78141,-244592
Takeshi Kitano,599447,352073,-247374
Len Wiseman,14065202,13806953,-258249
Olivier Marchal,606240,347586,-258654
Don Roos,1088760,828511,-260249
Ram Gopal Varma,298066,29212,-268854
Jacques Rivette,340849,71354,-269495
Catherine Breillat,394650,122515,-272135
Marco Kreuzpaintner,778461,505755,-272706
Régis Wargnier,347575,72555,-275020
Park Hoon-jung,881902,601790,-280112
Paolo Sorrentino,565693,281282,-284411
Jeff Wadlow,3223815,2932507,-291308
Jon Avnet,2792060,2490608,-301452
Roy Andersson,930528,627760,-302768
Brian De Palma,1116642,809171,-307471
Fernando Trueba,420623,109658,-310965
Mani Ratnam,749048,435890,-313158
Philippe Falardeau,659950,345448,-314502
Albert Pyun,482062,166496,-315566
Isabel Coixet,704294,382515,-321779
Kriv Stenders,775988,441869,-334119
Rachid Bouchareb,456416,119020,-337396
Denys Arcand,505166,160004,-345162
John Cameron Mitchell,1820082,1473900,-346182
Roland Joffé,527582,180877,-346705
Anthony Minghella,3645350,3293568,-351782
Miguel Arteta,993214,637926,-355288
Alex Kendrick,868228,505220,-363008
Michael Lembeck,2756706,2392254,-364452
Marc Meyers,765972,395480,-370492
Sion Sono,452663,82026,-370637
Jeremiah S. Chechik,2009358,1636462,-372896
Danny Cannon,3683531,3308506,-375025
Tom DiCillo,694441,313800,-380641
Gabriele Salvatores,511872,130778,-381094
Bigas Luna,474714,85476,-389238
Anurag Kashyap,846794,454411,-392383
Bille August,649604,254720,-394884
Stanley Tong,781454,386014,-395440
Steve Rash,653846,256524,-397322
Barry Levinson,1019138,617866,-401272
Gregory Nava,879764,474664,-405100
Tarsem Singh,5529740,5113902,-415838
Marc Rothemund,606558,187812,-418746
Nick Hamm,742449,321572,-420877
Oriol Paulo,5323262,4902129,-421133
Ben Lewin,862273,439436,-422837
Kirk Jones,2614569,2187630,-426939
Aleksey Balabanov,692530,261278,-431252
Richard Eyre,1126351,690255,-436096
David Wain,2202415,1764695,-437720
Alex Gibney,816160,376810,-439350
Kôji Shiraishi,508875,68333,-440542
Sheng Ding,555913,115304,-440609
Fred Schepisi,802076,355926,-446150
Léa Pool,488340,39871,-448469
John Schultz,924306,472651,-451655
John R. Leonetti,2474458,2017366,-457092
Michael Radford,605756,146274,-459482
Shana Feste,836116,376359,-459757
Steve McQueen,5676945,5215750,-461195
Nick Love,1086275,620554,-465721
Katja von Garnier,527754,59627,-468127
Mark Waters,1358165,882040,-476125
Ryan Little,667631,177614,-490017
Costa-Gavras,758568,267213,-491355
J.C. Chandor,7136204,6644650,-491554
Joe Carnahan,4048100,3551401,-496699
Patrice Chéreau,655960,157874,-498086
Wych Kaosayananda,599715,97553,-502162
Jim Abrahams,3184886,2677974,-506912
John Badham,1990924,1480481,-510443
Tony Giglio,883818,366772,-517046
Adrian Lyne,5394952,4876798,-518154
Steve Miner,1535188,997575,-537613
Stuart Gordon,1029064,490689,-538375
Marco Tullio Giordana,616812,73521,-543291
Andrea Arnold,2163005,1619470,-543535
Philippe de Chauveron,932885,388246,-544639
Mike Leigh,1549980,1003072,-546908
Jean-Jacques Annaud,995572,446156,-549416
Reginald Hudlin,1228519,677708,-550811
Jeff Burr,607775,46515,-561260
Hark Tsui,728093,166739,-561354
John Woo,789988,223090,-566898
John Singleton,5411004,4833736,-577268
Edward Burns,678906,97405,-581501
Kiyoshi Kurosawa,708298,125698,-582600
Ernest R. Dickerson,1121832,532508,-589324
Kim Jee-woon,1446895,846575,-600320
Douglas McGrath,1497845,890981,-606864
Franck Khalfoun,1127697,520830,-606867
Keishi Otomo,1048771,427183,-621588
Roger Spottiswoode,1858430,1236332,-622098
Brian Yuzna,788509,151213,-637296
Ericson Core,3608186,2968628,-639558
George Lucas,43058450,42416600,-641850
Jean-Marie Poiré,1205905,558189,-647716
Don Mancini,2414450,1758734,-655716
Charles Stone III,1242204,577359,-664845
Stephen Gaghan,4241010,3574178,-666832
Mario Van Peebles,1089611,421186,-668425
John Moore,5488365,4818150,-670215
Timur Bekmambetov,2145610,1469846,-675764
Ernie Barbarash,1245902,564240,-681662
Fernando González Molina,1147543,464726,-682817
Nigel Cole,1159528,476233,-683295
Scott Mann,1747287,1043504,-703783
Haifaa Al-Mansour,927705,222465,-705240
Rachel Talalay,1618220,904634,-713586
Mark L. Lester,785055,69876,-715179
George Clooney,4691003,3973540,-717463
Agnieszka Holland,1145774,410813,-734961
Priyadarshan,925786,189151,-736635
Christopher Cain,1060322,304199,-756123
Lucky McKee,1268402,510510,-757892
Jeff Nichols,3870732,3109550,-761182
Dennis Gansel,1527654,745396,-782258
Mark Dindal,6091356,5306820,-784536
François Girard,1064486,276468,-788018
Harold Cronk,1146162,335507,-810655
Simon Wincer,1174233,357468,-816765
Christopher Guest,1715836,895172,-820664
Phil Alden Robinson,4249896,3417564,-832332
Alfonso Gomez-Rejon,4007772,3166920,-840852
Ava DuVernay,3188834,2343710,-845124
Richard Benjamin,1153240,307189,-846051
M.J. Bassett,1242428,393882,-848546
Donald Petrie,1786354,929600,-856754
Imtiaz Ali,2003476,1146635,-856841
P.J. Hogan,4029188,3149110,-880078
James Ivory,1213914,317891,-896023
Allan Moyle,1432217,531387,-900830
Paul W.S. Anderson,4416960,3515455,-901505
Christian Carion,1039026,131488,-907538
Mark Rosman,2474045,1564782,-909263
Susanna White,1738805,825328,-913477
Jim Sheridan,5402150,4485514,-916636
William Dear,1029936,108214,-921722
Simon Wells,3813195,2882916,-930279
Kaige Chen,1078120,117476,-960644
Yimou Zhang,1369754,405252,-964502
John Herzfeld,1693800,716210,-977590
Quentin Dupieux,1409090,430388,-978702
Gus Van Sant,2339254,1345720,-993534
Gaspar Noé,3617407,2616120,-1001287
George Tillman Jr.,3701999,2698930,-1003069
Julie Delpy,1174362,148537,-1025825
Iain Softley,2249540,1214667,-1034873
Dito Montiel,1527500,486090,-1041410
Niels Arden Oplev,3448628,2406482,-1042146
Brian Levant,2511025,1444660,-1066365
Ivan Reitman,7094620,6026590,-1068030
Randal Kleiser,1565532,496769,-1068763
Gérard Krawczyk,2305331,1227408,-1077923
John Patrick Shanley,3921990,2843180,-1078810
Xavier Dolan,1546364,461131,-1085233
Danis Tanovic,1608060,518554,-1089506
Sam Weisman,1908448,816096,-1092352
Oren Moverman,1587116,467345,-1119771
Roman Polanski,2031094,907207,-1123887
Steven Brill,3670098,2545550,-1124548
Rowdy Herrington,1258275,126740,-1131535
David Bowers,1935790,796512,-1139278
Michael Moore,2201187,1054588,-1146599
John Stockwell,1435121,280286,-1154835
James Marsh,1826700,662250,-1164450
Thomas Bezucha,3063010,1890560,-1172450
Gillian Armstrong,1613037,440011,-1173026
Joe Chappelle,1683645,505740,-1177905
Anthony Hickox,1246262,48318,-1197944
Stephan Elliott,1796780,591994,-1204786
A.R. Murugadoss,1809240,598748,-1210492
Dany Boon,1494334,279024,-1215310
Scott Stewart,5662024,4446600,-1215424
John Hillcoat,4421464,3195394,-1226070
Wayne Wang,1336646,94211,-1242435
Michael Caton-Jones,1794690,532774,-1261916
Brett Leonard,1543082,266329,-1276753
Les Mayfield,2240073,959506,-1280567
Pascal Laugier,3308060,2023276,-1284784
John Curran,2536508,1212440,-1324068
Edward Zwick,5542930,4217168,-1325762
Jamie Babbit,1527400,189109,-1338291
Tamra Davis,3006780,1665734,-1341046
Takashi Shimizu,1701753,359287,-1342466
Jesse Dylan,6055642,4708704,-1346938
Andrew Fleming,2385554,1026664,-1358890
Alejandro Amenábar,2746160,1383590,-1362570
Jeff Tremaine,4701484,3338516,-1362968
James Watkins,5350922,3971670,-1379252
Lisa Azuelos,1519985,124607,-1395378
Michael Tiddes,2209175,792164,-1417011
Rob Cohen,2776520,1351220,-1425300
Frank Marshall,3596440,2167280,-1429160
Ben Falcone,2574526,1141030,-1433496
Daniel Barnz,2775414,1337285,-1438129
Mamoru Hosoda,2473862,1033726,-1440136
Jean-François Richet,3042166,1601247,-1440919
Tom Hooper,4961935,3520055,-1441880
Barbet Schroeder,1501954,54016,-1447938
Michel Hazanavicius,1651871,199133,-1452738
Jane Campion,2863566,1397087,-1466479
Bille Woodruff,1799910,327792,-1472118
Jonathan Lynn,2811244,1338423,-1472821
Paul Weitz,2263602,790500,-1473102
Jae-young Kwak,1660468,168256,-1492212
Richard Loncraine,1956235,458038,-1498197
Robert Altman,2396830,896966,-1499864
Charles Shyer,3220934,1713992,-1506942
Sean Ellis,3431854,1908622,-1523232
Christopher Smith,1769770,242592,-1527178
Stephen Daldry,7112260,5573880,-1538380
Robert Schwentke,4706000,3119324,-1586676
Griffin Dunne,2436913,845439,-1591474
Anton Corbijn,4105290,2508696,-1596594
Cristian Mungiu,2319086,714765,-1604321
Luke Greenfield,5491272,3881130,-1610142
Robert Rodriguez,6105730,4469848,-1635882
Daniel Alfredson,2036935,400575,-1636360
Richard LaGravenese,4584551,2948010,-1636541
Jessie Nelson,4526913,2885444,-1641469
Ken Scott,2531590,880895,-1650695
Andrew Davis,6583196,4928062,-1655134
Joseph Ruben,3054654,1397970,-1656684
John Waters,2413026,744924,-1668102
Guillaume Canet,2165662,496743,-1668919
David Zucker,5401113,3728389,-1672724
Robert Redford,3369928,1691098,-1678830
Lukas Moodysson,2214706,527782,-1686924
Phillip Noyce,4827034,3128506,-1698528
Joel Schumacher,3460974,1754546,-1706428
Peter Hewitt,2601369,877325,-1724044
Julian Jarrold,2213020,486361,-1726659
Sheldon Lettich,2061250,329367,-1731883
Alain Chabat,1995544,261991,-1733553
José Padilha,5062601,3315946,-1746655
Kunihiko Yuyama,2040919,275493,-1765426
Peter Landesman,3372970,1598110,-1774860
James Bobin,3555686,1745100,-1810586
Yeon Sang-ho,3503641,1680169,-1823472
Scott Speer,2430108,595466,-1834642
Peter Hedges,3318174,1454600,-1863574
Drake Doremus,2282676,411329,-1871347
Fernando Meirelles,7441800,5506260,-1935540
Dean Parisot,5882354,3936020,-1946334
Julie Taymor,2448450,475413,-1973037
Milos Forman,5414160,3397312,-2016848
Luc Jacquet,2061023,37531,-2023492
Stephen Herek,2652948,627887,-2025061
Karyn Kusama,4338656,2293584,-2045072
Davis Guggenheim,2504738,437535,-2067203
Danny Leiner,7205380,5130153,-2075227
Sylvain White,3504610,1406210,-2098400
David R. Ellis,5135738,3036996,-2098742
James DeMonaco,8033358,5885240,-2148118
Ari Sandel,3813309,1644995,-2168314
Abel Ferrara,2250367,75916,-2174451
Kelly Asbury,2672075,491820,-2180255
Tom Tykwer,3846087,1660899,-2185188
Richard Attenborough,2447790,252115,-2195675
Danny DeVito,5003350,2799712,-2203638
John Pasquin,5817984,3605712,-2212272
Ritesh Batra,2706776,437726,-2269050
Walt Becker,3616710,1338270,-2278440
Elliott Lester,3316994,1038018,-2278976
Ron Shelton,3392490,1101930,-2290560
Todd Solondz,2722911,421988,-2300923
Peter Howitt,3003936,701020,-2302916
Kenny Ortega,4605822,2290184,-2315638
Chris Nahon,2845790,512990,-2332800
Wayne Kramer,3312669,967400,-2345269
Andrzej Bartkowiak,2990629,638426,-2352203
Mimi Leder,4285884,1917378,-2368506
Majid Majidi,2700548,325643,-2374905
Emir Kusturica,2615256,239634,-2375622
Simon Curtis,4272570,1869032,-2403538
Mark Pellington,2715719,302457,-2413262
Armando Iannucci,4130370,1673788,-2456582
Cameron Crowe,6996775,4538492,-2458283
Joe Dante,3240374,763268,-2477106
Richard Donner,8053385,5575325,-2478060
Florent-Emilio Siri,3063872,585569,-2478303
Vadim Perelman,3058760,526856,-2531904
Jamie Blanks,3085886,530573,-2555313
Gurinder Chadha,3774690,1142884,-2631806
S. Craig Zahler,5634836,2999828,-2635008
Boaz Yakin,3319924,634755,-2685169
Ron Howard,4249906,1533173,-2716733
Saul Dibb,3694044,947620,-2746424
Yann Samuell,2845460,71722,-2773738
André Øvredal,5015219,2178314,-2836905
Prachya Pinkaew,3249113,354170,-2894943
Jay Chandrasekhar,4267656,1351364,-2916292
Adam Shankman,5338886,2393420,-2945466
Peter Webber,4239822,1230798,-3009024
Rob Minkoff,6660325,3640714,-3019611
Lasse Hallström,6995819,3972460,-3023359
Gareth Evans,7147078,4121982,-3025096
Steven Shainberg,4060189,985510,-3074679
David Lynch,5114710,2035510,-3079200
David Mickey Evans,3316440,211901,-3104539
Steven Knight,5764651,2653837,-3110814
Tom Dey,5791178,2657090,-3134088
Morgan Spurlock,3978322,827321,-3151001
Hideo Nakata,3186242,31440,-3154802
Debra Granik,6203721,3032037,-3171684
Eli Roth,6454329,3259402,-3194927
Ashutosh Gowariker,4805368,1573795,-3231573
Burr Steers,6307725,3068540,-3239185
Barry Sonnenfeld,8485345,5220824,-3264521
Richard Schenkman,4030918,652225,-3378693
M. Night Shyamalan,18040480,14629359,-3411121
Bernard Rose,3578256,135042,-3443214
Frank Coraci,7143902,3677885,-3466017
Rajkumar Hirani,13042115,9533172,-3508943
Josh Boone,8015494,4502500,-3512994
Larry Clark,3638734,87212,-3551522
Dominic Sena,7897897,4346350,-3551547
Marcus Nispel,6996722,3400368,-3596354
Hiromasa Yonebayashi,5075251,1459520,-3615731
Christian Alvart,3813505,197238,-3616267
Catherine Hardwicke,4520070,805569,-3714501
Peter Segal,5421164,1701385,-3719779
Colin Trevorrow,15644671,11905324,-3739347
Gil Kenan,6941500,3168592,-3772908
Neil Marshall,6385825,2581825,-3804000
Robert Iscove,4598293,772618,-3825675
Keenen Ivory Wayans,8225298,4354271,-3871027
Rob Zombie,4869970,961017,-3908953
Billy Bob Thornton,4282902,336939,-3945963
Mick Jackson,4906736,926828,-3979908
Dennis Iliadis,4444132,449259,-3994873
Alex Proyas,10313430,6313100,-4000330
Greta Gerwig,16404634,12389050,-4015584
Angelina Jolie,5226978,1071944,-4155034
Barry Jenkins,11024271,6832390,-4191881
David Robert Mitchell,9523960,5209534,-4314426
Roberto Benigni,4977187,600629,-4376558
Stephen Chow,5155976,715470,-4440506
Steven Quale,6158928,1717443,-4441485
Peter Cattaneo,5267450,812945,-4454505
Tom Vaughan,5336450,880770,-4455680
Anne Fletcher,6695359,2216500,-4478859
Steve Barron,4644489,113524,-4530965
Terry George,11247390,6466150,-4781240
Jerry Zucker,10737103,5945635,-4791468
Mathieu Kassovitz,7713776,2918024,-4795752
Justin Chadwick,6009150,1193380,-4815770
Brad Silberling,7322502,2476300,-4846202
Michael Bay,14381900,9504496,-4877404
John G. Avildsen,5304422,420735,-4883687
Zach Braff,9327300,4431965,-4895335
Rawson Marshall Thurber,11809384,6892354,-4917030
Stephen Hopkins,7024352,2105128,-4919224
David Hackl,5347106,418908,-4928198
Marc Lawrence,6231626,1250066,-4981560
Tomas Alfredson,7771487,2713521,-5057966
David S. Goyer,7564530,2501660,-5062870
Larry Charles,14719717,9605834,-5113883
Will Gluck,7528860,2413650,-5115210
Raja Gosnell,6373350,1240510,-5132840
Jonathan Frakes,6035032,741734,-5293298
Xavier Gens,5918330,549873,-5368457
Penelope Spheeris,5842318,439997,-5402321
Kevin Greutert,6172681,676648,-5496033
Bryan Bertino,6539285,999242,-5540043
Henry Selick,18800850,13242100,-5558750
James L. Brooks,8686496,3073990,-5612506
Joe Wright,16605700,10920197,-5685503
Amy Heckerling,6605563,879483,-5726080
Rodrigo Cortés,7568920,1825489,-5743431
Jay Roach,12168582,6363800,-5804782
Ron Underwood,6590240,724333,-5865907
John McTiernan,8862020,2927427,-5934593
Steve Pink,7712010,1739409,-5972601
Clark Johnson,6896450,793073,-6103377
Hayao Miyazaki,11454535,5226644,-6227891
Mark Steven Johnson,7123879,839849,-6284030
Penny Marshall,7551569,1105406,-6446163
Nicholas Stoller,14568500,7917841,-6650659
Rob Marshall,11450069,4771150,-6678919
Richard Linklater,7965665,1286310,-6679355
Brad Furman,8690146,1989210,-6700936
Darren Aronofsky,19337720,12525100,-6812620
Kevin Reynolds,8818656,1921940,-6896716
Derek Cianfrance,9956458,3010300,-6946158
David Frankel,11845775,4889840,-6955935
Gregory Hoblit,12086330,4978882,-7107448
Jim Gillespie,7671418,562815,-7108603
Oliver Hirschbiegel,7881252,754393,-7126859
Richard Curtis,26619250,19392900,-7226350
Fede Alvarez,9889500,2599250,-7290250
Randall Wallace,8826970,1456252,-7370718
Andy Fickman,8515800,1067940,-7447860
Tom McGrath,14539648,7091200,-7448448
McG,9770566,2225852,-7544714
Sofia Coppola,10102275,2342800,-7759475
Steve Oedekerk,9675966,1900788,-7775178
Chris Weitz,9958050,2162172,-7795878
Michael Mann,13690180,5772000,-7918180
Jared Hess,10199014,2174079,-8024935
Pierre Morel,11570162,3418330,-8151832
Dean DeBlois,15756448,7566000,-8190448
Josh Trank,12639204,4389438,-8249766
Roger Kumble,10287350,1882491,-8404859
Mike Judge,13901725,5453888,-8447837
Terrence Malick,10002650,1370107,-8632543
Shane Black,15875622,7194100,-8681522
Kevin Smith,10080135,1315240,-8764895
Danny Boyle,17203381,8417050,-8786331
Ben Affleck,15314780,6477052,-8837728
Vincenzo Natali,11548088,2464190,-9083898
Terry Gilliam,10683080,1551922,-9131158
Kevin Costner,13093899,3920510,-9173389
Martin Brest,16256266,7052692,-9203574
Genndy Tartakovsky,13686935,4288800,-9398135
Adam McKay,17542558,8141950,-9400608
Phyllida Lloyd,12319908,2852834,-9467074
James Wong,14030150,4423374,-9606776
Francis Lawrence,20099156,10106100,-9993056
Dan Scanlon,18785294,8538550,-10246744
Joseph Kosinski,17831400,7221685,-10609715
Robert Luketic,12033644,1363282,-10670362
Neil Burger,16014051,4897098,-11116953
Tom Shadyac,14486640,3176991,-11309649
Jason Reitman,13712415,2377188,-11335227
Sharon Maguire,13230200,1865973,-11364227
Carlos Saldanha,14869650,3378540,-11491110
Rob Reiner,12090350,391682,-11698668
Jan de Bont,18764535,7062281,-11702254
Andrew Niccol,13853932,2060200,-11793732
George Nolfi,13532350,1365334,-12167016
Paul Haggis,16194172,3955234,-12238938
Renny Harlin,12998064,624798,-12373266
Darren Lynn Bousman,13113066,316958,-12796108
Quentin Tarantino,55701489,42639900,-13061589
Kurt Wimmer,15276874,2206425,-13070449
Jean-Pierre Jeunet,14276406,1158980,-13117426
Paul Verhoeven,16421590,3286010,-13135580
David Yates,29222174,15484950,-13737224
Guy Ritchie,31183999,17398700,-13785299
Bryan Singer,43652060,29767200,-13884860
Garry Marshall,16582735,2652320,-13930415
Duncan Jones,20083085,6013557,-14069528
Roger Michell,14772645,547096,-14225549
Chuck Russell,19923650,5422520,-14501130
Simon West,14978374,219432,-14758942
Rupert Wyatt,17970892,3159776,-14811116
Greg Mottola,21077963,5407100,-15670863
Chad Stahelski,37083450,21388800,-15694650
Stephen Chbosky,25277974,8950600,-16327374
Tate Taylor,20281978,3123250,-17158728
Wes Ball,25608200,8243050,-17365150
Florian Henckel von Donnersmarck,20581950,3125028,-17456922
David Fincher,30871170,13041082,-17830088
Jordan Peele,35056900,17140550,-17916350
Andrew Adamson,21454950,3200403,-18254547
Gil Junger,19379650,896690,-18482960
Judd Apatow,23350993,4381696,-18969297
Ruben Fleischer,29619568,10190000,-19429568
Seth MacFarlane,31577011,11448794,-20128217
Neill Blomkamp,35179392,14930822,-20248570
Francis Ford Coppola,21076181,520324,-20555857
Robert Zemeckis,24112950,2338200,-21774750
Tim Burton,26266650,4243502,-22023148
Marc Webb,28305894,4736356,-23569538
Mary Harron,25285905,395310,-24890595
Michel Gondry,26442528,432014,-26010514
Sam Mendes,60676800,33960700,-26716100
Harold Ramis,31615308,4167635,-27447673
Dan Gilroy,30333550,2806824,-27526726
Damien Chazelle,37841880,10139350,-27702530
Chris Columbus,32715450,3527064,-29188386
Richard Kelly,38472413,4117006,-34355407
Martin Scorsese,57867480,18232308,-39635172
Tim Miller,56512100,9693900,-46818200
Tony Kaye,59466250,4992516,-54473734
James McTeigue,59088550,1222240,-57866310
Jonathan Demme,77689650,911030,-76778620
Frank Darabont,144977450,17086400,-127891050
